1     # ionic step
 Electronic state energy (eV) and occupations
 Spin number 1
 spin=1 k-point=1/10980 Cartesian=0.0000000 0.0000000 0.0000000 (531 plane wave)
 1 -3.230368749195009 9.110787172014140e-05
 2 20.43837489531817 0.000000000000000
 3 20.43837490738466 0.000000000000000
 4 20.43837491902492 0.000000000000000
 5 21.86534591974145 0.000000000000000
 6 21.86534593845983 0.000000000000000
 7 21.86534595364063 0.000000000000000
 8 24.29427001360609 0.000000000000000
 9 27.17376933935407 0.000000000000000
 10 27.17376935211373 0.000000000000000
 11 30.04730085533973 0.000000000000000
 12 32.41350898705775 0.000000000000000

 spin=1 k-point=2/10980 Cartesian=-0.008818342151677303 0.008818342151677303 0.008818342151677303 (507 plane wave)
 1 -3.195835683665956 0.0001822157434402828
 2 19.64525050432613 0.000000000000000
 3 20.28585376661525 0.000000000000000
 4 20.28585377851302 0.000000000000000
 5 22.07376216484199 0.000000000000000
 6 22.07376218985121 0.000000000000000
 7 22.26951601943901 0.000000000000000
 8 24.66202744294247 0.000000000000000
 9 26.96137718229844 0.000000000000000
 10 26.96137719465228 0.000000000000000
 11 29.91078625086818 0.000000000000000
 12 32.60105936450343 0.000000000000000

 spin=1 k-point=3/10980 Cartesian=-0.01763668430335079 0.01763668430335079 0.01763668430335079 (495 plane wave)
 1 -3.092298410549231 0.0001822157434402828
 2 18.29920386213943 0.000000000000000
 3 19.97219436735844 0.000000000000000
 4 19.97219437702676 0.000000000000000
 5 22.53150839014377 0.000000000000000
 6 22.54680911079685 0.000000000000000
 7 22.54680913175440 0.000000000000000
 8 25.67442589606687 0.000000000000000
 9 26.43042805464963 0.000000000000000
 10 26.43042806676798 0.000000000000000
 11 29.55194911296206 0.000000000000000
 12 33.11701013422998 0.000000000000000

 spin=1 k-point=4/10980 Cartesian=-0.02645502645502778 0.02645502645502778 0.02645502645502778 (495 plane wave)
 1 -2.919906390022355 0.0001822157434402828
 2 16.86541595667655 0.000000000000000
 3 19.63946914794454 0.000000000000000
 4 19.63946915714153 0.000000000000000
 5 22.54036633988972 0.000000000000000
 6 23.12251817276993 0.000000000000000
 7 23.12251819138441 0.000000000000000
 8 25.77048949404339 0.000000000000000
 9 25.77048950625709 0.000000000000000
 10 26.98769788616594 0.000000000000000
