relative_path	sha256	size_bytes
attempts/S1-G1-REGEN10-20260810-011.json	54d2c12398e78ed890de848ec8544710af7a982844570f492112f7ed929e384b	730
attempts/S1-G1-REGEN10-20260810-012.json	c97b8e7a15f02dd3ddc66f1d83f218cdb37e1d62b338f319fb97aa9f43af1d35	730
attempts/S1-G1-REGEN10-20260810-013.json	7e6d31f1eff5dd6622b66cb4bdce20c29477a29ae257fd6766e952797ab65097	730
attempts/S1-G1-REGEN10-20260810-014.json	c3fbedfaa6d4cce1256d0bea6f6a77fffae9810f8b0f6ade29088008db9e62c8	730
attempts/S1-G1-REGEN10-20260810-015.json	9617bf80541a0db15618263702c521168b4c17fc696e3161ac84cb926aec616d	730
attempts/S1-G1-REGEN10-20260810-016.json	86672ded22e68f677938a805d1871e59ee6098c17a5f367aa477f201ce0ff061	730
attempts/S1-G1-REGEN10-20260810-017.json	36b052d00e1d28be12679dc57e32d8afb6d98aba4c700da826d055044f802dd7	730
attempts/S1-G1-REGEN10-20260810-018.json	6db575474fb7ac9ad93ab04e1ff99abb6c1e16aad92080d90704140ae8843c08	730
attempts/S1-G1-REGEN10-20260810-019.json	bd8f76c0595f84b08c5bdbbc91f3a0b120deaf02d61560b78ec1e3b0f3fa3989	730
attempts/S1-G1-REGEN10-20260810-020.json	5b9606677be0897140bce734d19bb6e228f176b5ae40ba4e03b1a5b5ddcb214d	730
cases/S1-G1-REGEN10-20260810-011/INPUT	b7a5c1177c155e5a7a1ee79bb9128da0eb5be51e5535943da83f0cb61ebb50a7	400
cases/S1-G1-REGEN10-20260810-011/KPT	91042b39ee493cb5c1bee648adc865a2e5935a29278eb405dc009f994db55ece	29
cases/S1-G1-REGEN10-20260810-011/OUT.s1_al_v090_ofdft_next_cutoff/INPUT.info	ab328eee21198cbb6c1023fe6c40feda8dcea482fade01677c7016e4bc96b000	43574
cases/S1-G1-REGEN10-20260810-011/OUT.s1_al_v090_ofdft_next_cutoff/KPT.info	452499465d287a2280c553b60862c8f4e2efdc343b8c5799bc6cee2321370a4f	514
cases/S1-G1-REGEN10-20260810-011/OUT.s1_al_v090_ofdft_next_cutoff/STRU.cif	c92fcf1f97d924e358d193d84119d26256cd1a22173ae4d7bed0476df93b90b0	710
cases/S1-G1-REGEN10-20260810-011/OUT.s1_al_v090_ofdft_next_cutoff/running_scf.log	0774db0263f9af8b79c19b61ad92e4fea3f8535b244d94e1498705b2af33d049	17080
cases/S1-G1-REGEN10-20260810-011/OUT.s1_al_v090_ofdft_next_cutoff/warning.log	af727438244a248c7cd18fbf927b8dc0cec7806f709261c97f05c16e86461374	1190
cases/S1-G1-REGEN10-20260810-011/STRU	78f39f8f09367c41279248b1772a2dbe9dd77d2839931891ce5696b7ebac7fea	368
cases/S1-G1-REGEN10-20260810-011/al.gga.psp	d76ceac60058e230eac514fc419269433a33b199eb6abfa7d6ab43cde248bd1d	57493
cases/S1-G1-REGEN10-20260810-011/case_status.json	5b70ae647d2866750cb9d6b12e926a70296f93caa5934a3a8dfd594ee069429e	344
cases/S1-G1-REGEN10-20260810-011/input_metadata.json	70dd577902bbee42c9a181d4e0b348e6c790c80c6fc055ea68d1a7b4154df4d3	1568
cases/S1-G1-REGEN10-20260810-011/rank_proofs/EXEC.json	0772c4b94e49e4d8257f78c0b672936915101b3cabbc6c4b68b52ec6275b1493	967
cases/S1-G1-REGEN10-20260810-011/rank_proofs/GO.json	7a32b07b731c45f73226583b0327e67ac06fd3b5dc58e6c54d2003a6ed281106	548
cases/S1-G1-REGEN10-20260810-011/rank_proofs/rank-000.ack.json	458f1ad6bbf568faa023de6d58cd3ced84342968936653085fdef71eb95cd9f8	453
cases/S1-G1-REGEN10-20260810-011/rank_proofs/rank-000.proof.json	8871591065be3ee8f47bdab4e7e7cf270368bc9833bd697486244a0e5aecf4ed	884
cases/S1-G1-REGEN10-20260810-011/rank_proofs/rank-001.ack.json	868a26a5b57461c9e269e554391340bcdebcb60a33f4a0f6164fab64a27bb98b	453
cases/S1-G1-REGEN10-20260810-011/rank_proofs/rank-001.proof.json	a09b967b80e054b28875735556be66dfd8055685219b66505a088d1e755e8024	884
cases/S1-G1-REGEN10-20260810-011/rank_proofs/rank-002.ack.json	48cad824ee817f4c97809602c1bbe2620ef961c87277e8f2860b948b5bf2013d	453
